stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
589173501,http://silveristhenew.com/2015/08/08/what-china-thinks-of-donald-trump/,silveristhenew.com,53822,What China Thinks Of Donald Trump,2015-08-08 16:30:21,1879,,127285,2,2,[],0
592723711,http://beforeitsnews.com/politics/2016/05/jonah-goldberg-lays-out-why-he-is-not-voting-for-donald-trump-2808274.html,beforeitsnews.com,29363,Jonah Goldberg lays out why he is not voting for Donald Trump | Politics,2016-05-21 12:09:00,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 592723711, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
587032005,http://beforeitsnews.com/police-state/2016/03/make-my-day-clint-eastwood-endorses-donald-trump-3033.html,beforeitsnews.com,29363,Make My Day! Clint Eastwood Endorses Donald Trump | Police State,2016-03-22 04:21:00,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 587032005, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",78
547901936,http://beforeitsnews.com/gold-and-precious-metals/2015/08/what-china-thinks-of-donald-trump-2653748.html?utm_campaign=&utm_content=awesm-publisher&utm_term=http%3A%2F%2Fb4in.info%2FckaO&utm_source=direct-b4in.info&utm_medium=twitter,beforeitsnews.com,29363,What China Thinks Of Donald Trump | Gold and Precious Metals,2015-08-08 10:02:00,1879,,127285,1,1,"[{'foci_id': 1174, 'stories_id': 547901936, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
